DATE,SEMIMAJOR_AXIS,PERIAPSIS,APOAPSIS,DOT_SEMIMAJOR_AXIS,DOT_PERIAPSIS,DOT_APOAPSIS
2010-12-21,7065.359692511995,675.2150673125274,699.2343177114606,-0.00038642688377876766,-0.05392696107367101,0.053154107304976606
2010-12-22,7065.357579547864,675.1534101492432,699.2917489464837,-0.0021129641309016733,-0.06165716328416693,0.05743123502315939
2010-12-23,7065.357148456474,675.1133558148406,699.3309410981065,-0.00043109139005537145,-0.04005433440261186,0.03919215162272849
2010-12-24,7065.35518079507,675.0803869829407,699.3599746071977,-0.001967661403796228,-0.0329688318998933,0.029033509091277665
2010-12-25,7065.353987113849,675.0145502038995,699.423424023799,-0.0011936812206840841,-0.06583677904120577,0.06344941660131553
2010-12-26,7065.353480028303,674.9566861367571,699.4802739198486,-0.0005070855459052837,-0.05786406714241821,0.05684989604958446
2010-12-27,7065.352140310721,674.916856495636,699.5174241258053,-0.0013397175825957675,-0.03982964112105947,0.03715020595666374
2010-12-28,7065.351837280648,674.8695189073368,699.564155653958,-0.00030303007224574685,-0.04733758829922863,0.04673152815269077
2010-12-29,7065.3509825145975,674.7939081334939,699.638056895701,-0.0008547660509066191,-0.07561077384286818,0.07390124174298762
2010-12-30,7065.349524771533,674.7734662523865,699.6555832906785,-0.001457743064747774,-0.020441881107444715,0.01752639497749442
2010-12-31,7065.34908686807,674.7025938420721,699.7255798940676,-0.0004379034626253997,-0.07087241031433678,0.06999660338908598
2011-01-01,7065.347766108081,674.6589552925315,699.7665769236287,-0.0013207599895395106,-0.04363854954067392,0.04099702956114015
2011-01-02,7065.34728753081,674.602408834742,699.8221662268775,-0.0004785772707691649,-0.05654645778940903,0.0555893032487802
2011-01-03,7065.346994537571,674.5679513520513,699.8560377230891,-0.000292993238872441,-0.03445748269075466,0.033871496211645535
2011-01-04,7065.343828981465,674.4953714804725,699.9222864824569,-0.003165556106068834,-0.07257987157879597,0.06624875936779517
2011-01-05,7065.343393335983,674.445975012678,699.9708116592874,-0.0004356454819571809,-0.04939646779450868,0.04852517683048063
2011-01-06,7065.341872168636,674.4007539218976,700.0129904153727,-0.0015211673471640097,-0.045221090780387385,0.04217875608526356
2011-01-07,7065.341438778771,674.3680900154702,700.0447875420701,-0.000433389865065692,-0.0326639064273877,0.03179712669748369
2011-01-08,7065.34111546944,674.3341001489924,700.0781307898881,-0.00032330933026969433,-0.033989866477782016,0.03334324781792475
2011-01-09,7065.337828144588,674.299486825338,700.106169463836,-0.003287324852863094,-0.03461332365441194,0.028038673947889947
2011-01-10,7065.3363214016335,674.264499494071,700.1381433091964,-0.0015067429540067678,-0.034987331267075206,0.03197384536042591
2011-01-11,7065.335925192984,674.2074564501936,700.1943939357735,-0.0003962086493629613,-0.057043043877342825,0.056250626577138974
2011-01-12,7064.678289388881,673.2517445971836,699.8348341805789,-0.657635804102938,-0.9557118530100297,-0.3595597551945957
2011-01-13,7062.756417024386,672.334432661425,696.9084013873465,-1.921872364495357,-0.917311935758562,-2.9264327932323795
2011-01-14,7061.036643304594,673.019605827614,692.7836807815739,-1.7197737197921015,0.6851731661889744,-4.124720605772609
2011-01-15,7061.042761424123,672.9060573855022,692.9094654627415,0.00611811952876451,-0.11354844211177806,0.12578468116760178
2011-01-16,7061.033809566696,672.9583303275358,692.8392888058545,-0.008951857426836796,0.05227294203359634,-0.07017665688704255
2011-01-17,7061.040110128145,672.9790802886052,692.8311399676852,0.006300561449279485,0.02074996106944127,-0.008148838169290684
2011-01-18,7061.041943144485,672.9638811037086,692.8500051852623,0.001833016340242466,-0.015199184896687257,0.018865217577058502
2011-01-19,7059.120002205237,672.4719288078368,689.4980756026379,-1.9219409392480884,-0.49195229587178346,-3.3519295826243933
2011-01-20,7064.610364365658,676.4794326467436,696.4712960845719,5.490362160420773,4.007503838906814,6.9732204819340495
2011-01-21,7067.013877697787,677.3067771749592,700.4509782206154,2.403513332129478,0.8273445282155762,3.9796821360434933
2011-01-22,7067.024687483069,677.3848677903493,700.394507175789,0.010809785281708173,0.07809061539012419,-0.05647104482636678
2011-01-23,7067.0301363105045,677.3625768996209,700.4276957213877,0.005448827435429848,-0.022290890728413615,0.03318854559870488
2011-01-24,7067.031332517878,677.3515077414717,700.4411572942834,0.0011962073731410783,-0.011069158149211944,0.013461572895607787
2011-01-25,7067.029477091847,677.3407229963469,700.4482311873477,-0.001855426030488161,-0.010784745124738038,0.00707389306433015
2011-01-26,7067.028303534877,677.3255087196967,700.461098350056,-0.001173556970570644,-0.015214276650226566,0.01286716270828947
2011-01-27,7067.026472847124,677.2955634252086,700.4873822690405,-0.0018306877527720644,-0.029945294488129548,0.026283918984518095
2011-01-28,7067.026074275636,677.2813243009781,700.5008242502938,-0.0003985714874943369,-0.014239124230471134,0.01344198125332241
2011-01-29,7067.025256420245,677.2546987743024,700.5258140661865,-0.0008178553916877718,-0.026625526675729816,0.024989815892695333
2011-01-30,7067.02524523554,677.2194913921045,700.5609990789742,-1.1184704817424063e-05,-0.035207382197882,0.035185012787678716
2011-01-31,7067.02490821031,677.1952514786686,700.5845649419514,-0.0003370252297827392,-0.024239913435849303,0.02356586297719332
2011-02-01,7067.023026593456,677.1632779781934,700.612775208717,-0.0018816168540070066,-0.03197350047526015,0.028210266765654524
2011-02-02,7067.022555205176,677.1550701098646,700.6200403004867,-0.0004713882799478597,-0.008207868328781842,0.007265091769681931
2011-02-03,7067.022432101872,677.1688230271453,700.6060411765998,-0.00012310330384934787,0.013752917280726251,-0.013999123886947018
2011-02-04,7067.020263551393,677.1569673947336,700.613559708053,-0.0021685504789275,-0.011855632411766237,0.007518531453229116
2011-02-05,7067.019317970396,677.1510409501444,700.6175949906461,-0.0009455809977225726,-0.005926444589135826,0.004035282593122247
2011-02-06,7067.01843515255,677.1563086563348,700.6105616487642,-0.0008828178451949498,0.005267706190352328,-0.007033341881879096
2011-02-07,7067.017394121972,677.1532192830924,700.6115689608498,-0.0010410305785626406,-0.0030893732423464826,0.001007312085562262
2011-02-08,7067.015073256715,677.1468405715616,700.6133059418694,-0.00232086525647901,-0.006378711530828696,0.0017369810195759783
2011-02-09,7067.013752899113,677.1318599280143,700.6256458702107,-0.0013203576027080999,-0.014980643547346517,0.012339928341361883
2011-02-10,7067.012902986858,677.1459695692711,700.609836404444,-0.0008499122550347238,0.014109641256823124,-0.015809465766778885
2011-02-11,7067.012451909891,677.1442806645377,700.6106231552427,-0.00045107696678314824,-0.001688904733327945,0.000786750798738467
2011-02-12,7067.012170681528,677.1486600929683,700.6056812700868,-0.0002812283628372825,0.0043794284305249676,-0.004941885155858472
2011-02-13,7067.011167953352,677.1434850658902,700.6088508408143,-0.0010027281759903417,-0.005175027078053063,0.0031695707274366214
2011-02-14,7067.008396753603,677.1899569541323,700.5568365530736,-0.0027711997490769136,0.04647188824208115,-0.052014287740689724
2011-02-15,7067.008215642062,677.226707246905,700.5197240372195,-0.00018111154076905223,0.03675029277269459,-0.03711251585411901
2011-02-16,7067.006198487713,677.2571921384856,700.4852048369405,-0.0020171543492324417,0.030484891580613294,-0.03451920027896449
2011-02-17,7067.005913812366,677.2816502251385,700.4601773995939,-0.00028467534684750717,0.02445808665288496,-0.025027437346579973
2011-02-18,7067.004299580601,677.3253348777356,700.4132642834658,-0.0016142317654157523,0.04368465259710774,-0.04691311612816662
2011-02-19,7067.002542631163,677.3501124398812,700.3849728224437,-0.0017569494375493377,0.02477756214557303,-0.028291461022035946
2011-02-20,7066.9994760866075,677.3536772858326,700.3752748873817,-0.003066544555622386,0.0035648459514732167,-0.009697935062035867
2011-02-21,7066.997552468373,677.361169024036,700.3639359127096,-0.0019236182342865504,0.007491738203384557,-0.011338974672071345
2011-02-22,7066.99644684488,677.3843238644007,700.3385698253576,-0.0011056234934585518,0.023154840364668416,-0.025366087352040267
2011-02-23,7066.995906172363,677.4021695620144,700.3196427827111,-0.0005406725167631521,0.017845697613665834,-0.018927042646510017
2011-02-24,7066.993837778827,677.441369093094,700.2763064645586,-0.0020683935363194905,0.03919953107958918,-0.04333631815245553
2011-02-25,7066.993102008045,677.4565789691816,700.2596250469081,-0.0007357707818300696,0.015209876087624252,-0.016681417650488584
2011-02-26,7066.99270400721,677.4795808623404,700.2358271520776,-0.0003980008350481512,0.02300189315883472,-0.023797894830522637
2011-02-27,7066.992631289339,677.502199118596,700.2130634600828,-7.271787035278976e-05,0.022618256255555025,-0.022763691994782675
2011-02-28,7066.992175807464,677.528579420464,700.1857721944629,-0.00045548187517852057,0.02638030186801643,-0.027291265619965088
2011-03-01,7066.989822648168,677.5440718325481,700.1655734637885,-0.002353159296035301,0.015492412084086027,-0.02019873067433764
2011-03-02,7066.989185655178,677.5754425915965,700.1329287187572,-0.0006369929906213656,0.03137075904840003,-0.032644745031348066
2011-03-03,7066.987881831709,677.5893483963949,700.1164152670232,-0.0013038234683335759,0.013905804798469035,-0.016513451733999318
2011-03-04,7066.985268666939,677.6774392050914,700.0230981287868,-0.0026131647700822214,0.08809080869650643,-0.09331713823632981
2011-03-05,7066.983934207223,677.730522852296,699.9673455621491,-0.0013344597164177685,0.05308364720451664,-0.055752566637693235
2011-03-06,7066.981239560705,677.7576750213424,699.9348041000666,-0.0026946465177388745,0.02715216904641693,-0.0325414620825768
2011-03-07,7066.980511201387,677.8030922857112,699.8879301170623,-0.0007283593176907743,0.0454172643687798,-0.04687398300427503
2011-03-08,7066.978273387087,677.8333949603532,699.8531518138208,-0.0022378143003152218,0.03030267464203007,-0.034778303241523645
2011-03-09,7066.975693944455,677.8736865232378,699.8077013656709,-0.002579442631940765,0.04029156288459035,-0.04545044814983612
2011-03-10,7066.973000005134,677.890088550951,699.7859114593164,-0.0026939393210341223,0.016402027713183998,-0.02178990635457012
2011-03-11,7066.9695815820705,677.966317095972,699.7028460681684,-0.0034184230635219137,0.07622854502108112,-0.08306539114801126
2011-03-12,7066.967378752333,678.0127933643405,699.6519641403245,-0.0022028297371434746,0.0464762683684512,-0.05088192784387502
2011-03-13,7066.963173680422,678.0656160800704,699.590731280773,-0.00420507191120123,0.052822715729917036,-0.06123285955152369
2011-03-14,7066.959569137206,678.0805458830617,699.5685923913499,-0.0036045432161699864,0.014929802991332508,-0.022138889423104047
