DATE,SEMIMAJOR_AXIS,PERIAPSIS,APOAPSIS,DOT_SEMIMAJOR_AXIS,DOT_PERIAPSIS,DOT_APOAPSIS
2012-12-03,7037.815459465117,610.8779429804332,708.4829759497995,-0.014265671108660172,0.5636867576828308,-0.5922180999008333
2012-12-04,7037.801232849673,611.4691928561159,707.8632728432301,-0.014226615443476476,0.5912498756827063,-0.6197031065694318
2012-12-05,7037.792515278891,612.8242427938884,706.4907877638929,-0.008717570782209805,1.3550499377724918,-1.3724850793372525
2012-12-06,7037.785033068111,613.3623744112098,705.9376917250111,-0.00748221077992639,0.538131617321369,-0.5530960388817903
2012-12-07,7037.77755085733,613.900506028531,705.3845956861293,-0.007482210780835885,0.5381316173212554,-0.5530960388817903
2012-12-08,7037.770132287808,614.2860775773476,704.9841869982686,-0.007418569522087637,0.3855715488165288,-0.40040868786070405
2012-12-09,7037.762939968886,614.1292838758956,705.1265960618754,-0.007192318922534469,-0.15679370145198845,0.14240906360680583
2012-12-10,7037.755747649963,613.9724901744436,705.2690051254821,-0.007192318922534469,-0.15679370145198845,0.14240906360669214
2012-12-11,7037.748555331041,613.8156964729917,705.4114141890889,-0.007192318922534469,-0.15679370145187477,0.14240906360680583
2012-12-12,7037.757071138025,613.6707291546807,705.5734131213679,0.008515806984178198,-0.14496731831104626,0.1619989322790616
2012-12-13,7037.767624217343,613.5272956643597,705.7379527703255,0.01055307931801508,-0.14343349032094466,0.16453964895754325
2012-12-14,7037.778177296662,613.3838621740388,705.902492419283,0.010553079318924574,-0.14343349032094466,0.16453964895754325
2012-12-15,7037.783705208868,613.0186809643955,706.2787294533385,0.005527912206162,-0.36518120964331047,0.3762370340555208
2012-12-16,7037.769109300472,611.7654872324151,707.5027313685276,-0.014595908395676815,-1.253193731980332,1.224001915189092
2012-12-17,7037.762277040697,611.915689403709,707.3388646776847,-0.006832259775364946,0.15020217129392677,-0.16386669084295136
2012-12-18,7037.758521474525,612.5008217291851,706.7462212198651,-0.003755566172003455,0.5851323254760246,-0.5926434578195767
2012-12-19,7037.75461896352,612.6205839752693,706.6186539517722,-0.003902511004525877,0.11976224608417851,-0.1275672680928892
2012-12-20,7037.750716452517,612.7403462213535,706.4910866836794,-0.0039025110036163824,0.1197622460842922,-0.12756726809277552
2012-12-21,7037.746206988607,612.8335928788455,706.3888210983679,-0.004509463909926126,0.09324665749193173,-0.1022655853115566
2012-12-22,7037.739575030406,612.834115397618,706.3750346631936,-0.00663195820106921,0.0005225187725272917,-0.013786435174324652
2012-12-23,7037.732943072205,612.8346379163906,706.3612482280192,-0.00663195820106921,0.0005225187726409786,-0.013786435174324652
2012-12-24,7037.726311114005,612.8351604351633,706.347461792845,-0.0066319582001597155,0.0005225187726409786,-0.013786435174210965
2012-12-25,7037.719437261963,612.8517172889857,706.3171572349407,-0.00687385204128077,0.016556853822407902,-0.03030455790428732
2012-12-26,7037.712552302787,612.869010397703,706.2860942078714,-0.006884959176204575,0.01729310871735379,-0.03106302706930819
2012-12-27,7037.705358077849,612.8349776561453,706.3057384995532,-0.007194224937848048,-0.034032741557780355,0.019644291681743198
2012-12-28,7037.698135008026,612.7961578076537,706.3301122083975,-0.007223069823339756,-0.03881984849158471,0.02437370884433676
2012-12-29,7037.690911938203,612.7573379591622,706.3544859172418,-0.007223069823339756,-0.03881984849147102,0.02437370884433676
2012-12-30,7037.683688868378,612.7185181106707,706.3788596260862,-0.007223069824249251,-0.03881984849147102,0.02437370884433676
2012-12-31,7037.678157552664,612.6984089136813,706.3879061916468,-0.005531315714506491,-0.020109196989437805,0.009046565560652198
2013-01-01,7037.674228517269,612.7082383572765,706.3702186772599,-0.00392903539523104,0.009829443595208431,-0.017687514386921066
2013-01-02,7037.668129811504,612.7121779046249,706.3540817183818,-0.006098705764998158,0.003939547348409178,-0.016136958878064434
2013-01-03,7037.663224423988,612.7060552994469,706.3503935485295,-0.004905387515464099,-0.006122605178006779,-0.003688169852352985
2013-01-04,7037.660426723928,612.6821605093016,706.3686929385557,-0.002797700060000352,-0.02389479014527751,0.018299390026186302
2013-01-05,7037.658308076516,612.796276879608,706.2503392734242,-0.002118647412316932,0.11411637030630573,-0.11835366513150802
2013-01-06,7037.656442656257,612.961859323293,706.0810259892215,-0.0018654202585821622,0.16558244368502528,-0.16931328420264435
2013-01-07,7037.653839792473,613.0899709631444,705.9477086218023,-0.0026028637839772273,0.12811163985145413,-0.1333173674191812
2013-01-08,7037.648473718763,613.0776790417553,705.9492683957699,-0.005366073710320052,-0.012291921389078198,0.0015597739675285993
2013-01-09,7037.643107645052,613.0653871203663,705.9508281697375,-0.0053660737112295465,-0.012291921389078198,0.0015597739676422862
2013-01-10,7037.637741571341,613.0530951989771,705.952387943705,-0.005366073710320052,-0.012291921389191884,0.0015597739675285993
2013-01-11,7037.63238865628,613.0387171588545,705.9560601537066,-0.005352915060939267,-0.014378040122551283,0.0036722100015822434
2013-01-12,7037.627042156553,613.0233220579886,705.960762255118,-0.005346499727238552,-0.015395100865930544,0.004702101411339754
2013-01-13,7037.621695656826,613.0079269571227,705.9654643565292,-0.005346499727238552,-0.015395100865930544,0.004702101411226067
2013-01-14,7037.617086751168,612.9692208050169,705.9949526973201,-0.004608905657732976,-0.03870615210576034,0.02948834079086282
2013-01-15,7037.6125163285515,612.9292984281942,706.0257342289098,-0.004570422616779979,-0.03992237682268751,0.030781531589695987
2013-01-16,7037.605755350557,612.6745902579602,706.2669204431542,-0.006760977994417772,-0.25470817023403924,0.2411862142444079
2013-01-17,7037.595178071777,612.0456905926007,706.8746655509526,-0.010577278780147026,-0.6288996653594268,0.6077451077984506
2013-01-18,7037.587493839947,611.8901540632227,707.0148336166703,-0.007684231830353383,-0.15553652937808238,0.14016806571771667
2013-01-19,7037.580871084193,611.908297274608,706.9834448937777,-0.006622755753596721,0.018143211385336144,-0.03138872289264327
2013-01-20,7037.574248328439,611.9264404859932,706.9520561708849,-0.006622755753596721,0.018143211385222457,-0.03138872289275696
2013-01-21,7037.566121003305,612.1022107855891,706.7600312210213,-0.008127325134410057,0.17577029959591073,-0.19202494986359397
2013-01-22,7037.557900594087,612.2877330935029,706.5580680946721,-0.008220409217756242,0.18552230791374313,-0.20196312634925562
2013-01-23,7037.549680184869,612.4732554014166,706.3561049683227,-0.008220409217756242,0.18552230791374313,-0.2019631263493693
2013-01-24,7037.542027378651,612.2835112358648,706.5305435214386,-0.007652806218175101,-0.18974416555181506,0.1744385531159196
2013-01-25,7037.534405855051,612.0730848025639,706.7257269075369,-0.007621523600391811,-0.2104264333008814,0.1951833860982788
2013-01-26,7037.52678433145,611.862658369263,706.9209102936353,-0.0076215236013013055,-0.2104264333008814,0.19518338609839248
2013-01-27,7037.521053855322,611.9034140307327,706.8686936799112,-0.005730476127610018,0.040755661469688675,-0.052216613724112904
2013-01-28,7037.515414931322,611.9563302833061,706.8044995793379,-0.005638923999867984,0.05291625257336818,-0.06419410057333153
2013-01-29,7037.510097928571,611.9108347028337,706.8393611543074,-0.005317002751326072,-0.04549558047244773,0.03486157496956821
2013-01-30,7037.505333454621,611.6964301967117,707.0442367125308,-0.00476447394976276,-0.21440450612192308,0.20487555822342074
2013-01-31,7037.500568980672,611.4820256905897,707.2491122707543,-0.004764473948853265,-0.21440450612203676,0.20487555822342074
