DATE,SEMIMAJOR_AXIS,PERIAPSIS,APOAPSIS,DOT_SEMIMAJOR_AXIS,DOT_PERIAPSIS,DOT_APOAPSIS
2009-07-30,7052.049387280292,666.0237445249765,681.8050300356068,,,
2009-07-31,7052.029135009461,666.1705412698304,681.6177287490912,-0.020252270830496855,0.14679674485398664,-0.18730128651566247
2009-08-01,7052.068139029481,666.2377384672901,681.6285395916719,0.03900402002000192,0.06719719745967723,0.010810842580781355
2009-08-02,7052.063217463728,666.2431172992414,681.6133176282126,-0.004921565753647883,0.005378831951247776,-0.01522196345933935
2009-08-03,7052.0632941197755,666.2698480070646,681.5867402324857,7.665604789508507e-05,0.026730707823276134,-0.02657739572691753
2009-08-04,7052.059878443223,666.2489877308465,681.600769155599,-0.003415676552322111,-0.020860276218172658,0.014028923113301062
2009-08-05,7052.059647015188,666.238391864182,681.6109021661935,-0.00023142803547671065,-0.010595866664516507,0.01013301059447258
2009-08-06,7052.05924631552,666.2461351421853,681.6023574888548,-0.0004006996678072028,0.007743278003317755,-0.008544677338704787
2009-08-07,7052.056973967996,666.2181576320738,681.6257903039175,-0.00227234752401273,-0.027977510111441006,0.023432815062733425
2009-08-08,7052.054340661706,666.1933605025833,681.6453208208294,-0.002633306289681059,-0.024797129490480074,0.019530516911913764
2009-08-09,7052.053833192657,666.1723172003973,681.6653491849177,-0.0005074690488982014,-0.0210433021860581,0.020028364088261696
2009-08-10,7052.050650914763,666.1469649479703,681.6843368815552,-0.0031822778946661856,-0.0253522524269556,0.018987696637509544
2009-08-11,7052.048510392794,666.1458167870788,681.6812039985092,-0.0021405219686130295,-0.0011481608914891694,-0.003132883045964263
2009-08-12,7052.048462283144,666.123743587173,681.7031809791143,-4.81096503790468e-05,-0.02207319990588985,0.021976980605131757
2009-08-13,7052.046918053073,666.1072435819003,681.7165925242438,-0.0015442300709764822,-0.016500005272632734,0.013411545129429214
2009-08-14,7052.044899492444,666.1078878477778,681.7119111371086,-0.002018560629039712,0.0006442658774403753,-0.004681387135178738
2009-08-15,7052.043594907664,666.0801975765118,681.736992238814,-0.0013045847799730836,-0.027690271266010313,0.025081101705382025
2009-08-16,7052.042083926706,666.0580978866667,681.7560699667448,-0.001510980957391439,-0.022099689845049397,0.019077727930834953
2009-08-17,7052.041162322118,666.0358192772638,681.7765053669712,-0.0009216045882567414,-0.02227860940286064,0.020435400226347156
2009-08-18,7052.041187596417,666.0087487856206,681.8036264072138,2.5274299332522787e-05,-0.02707049164325781,0.027121040242604977
2009-08-19,7052.041439861425,665.9440236457843,681.8688560770656,0.0002522650074752164,-0.0647251398362414,0.06522966985187395
2009-08-20,7052.040978463873,665.9199605865333,681.8919963412127,-0.0004613975515894708,-0.024063059251034247,0.023140264147059497
2009-08-21,7052.039004797889,665.8943678385936,681.9136417571843,-0.0019736659842237714,-0.02559274793975419,0.021645415971647708
2009-08-22,7052.037281150215,665.8446129643337,681.9599493360953,-0.0017236476742255036,-0.049754874259861026,0.04630757891095527
2009-08-23,7052.036013086625,665.8060753731986,681.9959508000505,-0.0012680635900323978,-0.03853759113508204,0.03600146395524462
2009-08-24,7052.03483412157,665.7626726485569,682.0369955945837,-0.0011789650543505559,-0.04340272464173722,0.0410447945331498
2009-08-25,7052.034233791979,665.7384283300486,682.0600392539098,-0.0006003295911796158,-0.024244318508294782,0.023043659326162924
2009-08-26,7052.034107983339,665.6778182049687,682.1203977617088,-0.00012580864040501183,-0.06061012507984742,0.06035850779892371
2009-08-27,7052.03237687444,665.6788693207345,682.1158844281451,-0.0017311088986389223,0.0010511157657902004,-0.004513333563636479
2009-08-28,7052.031296426351,665.598058629666,682.1945342230363,-0.001080448088941921,-0.08081069106856376,0.07864979489113466
2009-08-29,7052.03008971411,665.5593296687217,682.2308497594966,-0.0012067122415828635,-0.0387289609442405,0.03631553646027896
2009-08-30,7052.028718946312,665.5066311684554,682.280806724168,-0.0013707677971979138,-0.052698500266274095,0.04995696467142352
2009-08-31,7052.027216863802,665.4591455882831,682.3252881393213,-0.0015020825103420066,-0.04748558017229243,0.04448141515331372
2009-09-01,7052.026802290993,665.4123395724894,682.3712650094958,-0.00041457280894974247,-0.04680601579377708,0.04597687017451335
2009-09-02,7052.025864637774,665.3412250436635,682.4405042318851,-0.0009376532188980491,-0.07111452882588765,0.0692392223893421
2009-09-03,7052.024024771459,665.2978745096746,682.4801750332432,-0.001839866315094696,-0.043350533988927964,0.03967080135805645
2009-09-04,7052.023223919869,665.2505254571489,682.5259223825904,-0.0008008515897017787,-0.047349052525646584,0.04574734934715252
2009-09-05,7052.022044989261,665.1989842861428,682.5751056923796,-0.001178930608148221,-0.05154117100607891,0.049183309789214036
2009-09-06,7052.021273563073,665.1304253779862,682.6421217481583,-0.0007714261882938445,-0.06855890815666044,0.0670160557787085
2009-09-07,7052.020485197471,665.0775857180738,682.6933846768693,-0.0007883656016929308,-0.05283965991236528,0.05126292871102578
2009-09-08,7052.019387422475,665.0058785732621,682.7628962716872,-0.0010977749961966765,-0.07170714481173945,0.06951159481786817
2009-09-09,7052.018855620962,664.9587479602251,682.8089632816984,-0.000531801512806851,-0.04713061303698396,0.04606701001125657
2009-09-10,7052.018059813155,664.9143215219168,682.8517981043925,-0.0007958078076626407,-0.04442643830827819,0.04283482269408978
2009-09-11,7052.018035488949,664.874453812745,682.8916171651518,-2.4324205696757417e-05,-0.03986770917185822,0.03981906075932784
2009-09-12,7052.01810856134,664.8421157635437,682.9241013591358,7.307239138754085e-05,-0.03233804920125749,0.032484193983918885
