DATE,SEMIMAJOR_AXIS,PERIAPSIS,APOAPSIS,DOT_SEMIMAJOR_AXIS,DOT_PERIAPSIS,DOT_APOAPSIS
1971-12-14,7462.131350427401,1022.0893752007697,1145.9033256540322,,,
1971-12-15,7462.097644244065,1021.7387157411141,1146.1865727470142,-0.03370618333610764,-0.35065945965561696,0.28324709298203743
1971-12-16,7462.063938060728,1021.3880562814586,1146.4698198399963,-0.03370618333701714,-0.35065945965550327,0.28324709298203743
1971-12-17,7462.030231877391,1021.037396821803,1146.7530669329783,-0.03370618333701714,-0.35065945965561696,0.28324709298203743
1971-12-18,7461.996525694054,1020.6867373621475,1147.0363140259603,-0.03370618333701714,-0.35065945965550327,0.28324709298203743
1971-12-19,7461.962819510717,1020.3360779024919,1147.3195611189424,-0.03370618333701714,-0.35065945965561696,0.28324709298203743
1971-12-20,7461.9316903108365,1020.1636776736387,1147.4297029480335,-0.03112919988052454,-0.172400228853121,0.11014182909116244
1971-12-21,7461.901241614193,1020.0383503056938,1147.4941329226926,-0.030448696643361473,-0.1253273679449194,0.06442997465910594
1971-12-22,7461.870792917551,1019.9130229377488,1147.5585628973515,-0.030448696642451978,-0.12532736794503307,0.06442997465887856
1971-12-23,7461.840344220907,1019.7876955698039,1147.6229928720106,-0.030448696643361473,-0.1253273679449194,0.06442997465910594
1971-12-24,7461.809895524264,1019.6623682018588,1147.6874228466697,-0.030448696643361473,-0.12532736794503307,0.06442997465910594
1971-12-25,7461.7794468276215,1019.5370408339139,1147.7518528213288,-0.030448696642451978,-0.1253273679449194,0.06442997465910594
1971-12-26,7461.748998130978,1019.4117134659689,1147.8162827959877,-0.030448696643361473,-0.12532736794503307,0.06442997465887856
1971-12-27,7461.718549434335,1019.286386098024,1147.8807127706468,-0.030448696643361473,-0.1253273679449194,0.06442997465910594
1971-12-28,7461.688100737692,1019.1610587300789,1147.945142745306,-0.030448696642451978,-0.12532736794503307,0.06442997465910594
1971-12-29,7461.660900208481,1019.1068363346566,1147.9449640823045,-0.0272005292117683,-0.054222395422357295,-0.0001786630014066759
1971-12-30,7461.6344965065855,1019.0700571239439,1147.928935889227,-0.02640370189510577,-0.0367792107126661,-0.01602819307754544
1971-12-31,7461.60809280469,1019.0332779132312,1147.9129076961494,-0.02640370189510577,-0.0367792107126661,-0.01602819307754544
1972-01-01,7461.581689102795,1018.9964987025187,1147.896879503072,-0.02640370189510577,-0.03677921071255241,-0.01602819307754544
1972-01-02,7461.5583220199,1018.8988261294768,1147.9478179103219,-0.023367082895674685,-0.0976725730419048,0.050938407249986994
1972-01-03,7461.535752673566,1018.7851565342398,1148.0163488128917,-0.02256934633351193,-0.11366959523695641,0.06853090256981886
1972-01-04,7461.513819594603,1018.6872792583345,1148.0703599308697,-0.02193307896322949,-0.09787727590537543,0.05401111797800695
1972-01-05,7461.49363768934,1018.6328665628826,1148.0844088157965,-0.020181905262688815,-0.05441269545190153,0.01404888492675127
1972-01-06,7461.4734557840775,1018.5784538674307,1148.0984577007232,-0.020181905262688815,-0.05441269545190153,0.01404888492675127
1972-01-07,7461.454361119192,1018.5194555163952,1148.1192667219882,-0.019094664885415114,-0.05899835103548412,0.020809021264994954
1972-01-08,7461.437859379033,1018.4495209823423,1148.1561977757237,-0.016501740158673783,-0.06993453405289074,0.03693105373554317
1972-01-09,7461.421357638875,1018.3795864482894,1148.1931288294593,-0.016501740158673783,-0.06993453405289074,0.03693105373554317
1972-01-10,7461.404855898715,1018.3096519142365,1148.2300598831948,-0.016501740159583278,-0.06993453405289074,0.03693105373554317
1972-01-11,7461.388276651273,1018.2177268279548,1148.288826474593,-0.01657924744176853,-0.09192508628166252,0.058766591398125456
1972-01-12,7461.371502511409,1018.0705063959571,1148.402498626861,-0.016774139864537574,-0.14722043199776635,0.11367215226800909
1972-01-13,7461.354728371544,1017.9232859639593,1148.5161707791292,-0.016774139864537574,-0.14722043199776635,0.11367215226823646
1972-01-14,7461.33795423168,1017.7760655319615,1148.6298429313972,-0.016774139864537574,-0.14722043199776635,0.11367215226800909
1972-01-15,7461.322116397197,1017.6593912235585,1148.714841570834,-0.01583783448313625,-0.1166743084030486,0.08499863943688979
1972-01-16,7461.308763215783,1017.6237764938169,1148.7237499377482,-0.013353181413549464,-0.03561472974161006,0.008908366914056387
1972-01-17,7461.2954100343695,1017.5881617640754,1148.7326583046624,-0.013353181413549464,-0.035614729741496376,0.00890836691428376
1972-01-18,7461.282056852955,1017.5525470343338,1148.7415666715767,-0.013353181414458959,-0.03561472974161006,0.00890836691428376
1972-01-19,7461.2687036715415,1017.5169323045922,1148.750475038491,-0.013353181413549464,-0.03561472974161006,0.00890836691428376
1972-01-20,7461.255350490128,1017.4813175748506,1148.7593834054053,-0.013353181413549464,-0.03561472974161006,0.00890836691428376
1972-01-21,7461.241997308714,1017.4457028451089,1148.7682917723196,-0.013353181413549464,-0.03561472974161006,0.00890836691428376
1972-01-22,7461.228644127301,1017.4100881153673,1148.7772001392339,-0.013353181413549464,-0.03561472974161006,0.00890836691428376
1972-01-23,7461.217240724067,1017.3843075846002,1148.7801738635333,-0.011403403233998688,-0.02578053076717879,0.0029737242994087865
1972-01-24,7461.206412947758,1017.3614303736914,1148.7813955218228,-0.01082777630927012,-0.022877210908745838,0.001221658289523475
1972-01-25,7461.195585171447,1017.3385531627827,1148.782617180112,-0.010827776310179615,-0.022877210908745838,0.0012216582892961014
1972-01-26,7461.184757395138,1017.3156759518739,1148.7838388384016,-0.01082777630927012,-0.022877210908745838,0.001221658289523475
